"","CPP","FG"
"1","Aberdeen City",1
"2","Aberdeenshire",1
"3","Angus",2
"4","Argyll and Bute",2
"5","Clackmannanshire",3
"6","Dumfries and Galloway",3
"7","Dundee City",4
"8","East Ayrshire",4
"9","East Dunbartonshire",1
"10","East Lothian",2
"11","East Renfrewshire",1
"12","Edinburgh, City of",1
"13","Eilean Siar",4
"14","Falkirk",3
"15","Fife",3
"16","Glasgow City",4
"17","Highland",2
"18","Inverclyde",4
"19","Midlothian",2
"20","Moray",2
"21","North Ayrshire",4
"22","North Lanarkshire",4
"23","Orkney Islands",1
"24","Perth and Kinross",1
"25","Renfrewshire",3
"26","Scottish Borders",2
"27","Shetland Islands",1
"28","South Ayrshire",3
"29","South Lanarkshire",3
"30","Stirling",2
"31","West Dunbartonshire",4
"32","West Lothian",3
